route_id,vehicle_type_id,departure_time,price_vnd
MA-R01,VT-SLEEPER-34,06:00,350000
MA-R01,VT-CABIN-22,13:00,520000
MA-R01,VT-SLEEPER-34,20:00,350000
MA-R02,VT-SLEEPER-34,06:00,350000
MA-R02,VT-CABIN-22,13:00,520000
MA-R02,VT-SLEEPER-34,20:00,350000
MA-R03,VT-SLEEPER-34,19:00,390000
MA-R04,VT-SLEEPER-34,19:00,390000
MA-R05,VT-SLEEPER-40,18:30,520000
MA-R06,VT-SLEEPER-40,18:30,520000
MA-R07,VT-CABIN-22,17:30,820000
MA-R08,VT-CABIN-22,17:30,820000
MA-R09,VT-SLEEPER-40,16:00,750000
MA-R10,VT-SLEEPER-40,16:00,750000
MA-R11,VT-SLEEPER-34,07:00,380000
MA-R11,VT-CABIN-22,19:30,520000
MA-R12,VT-SLEEPER-34,07:00,380000
MA-R12,VT-CABIN-22,19:30,520000
MA-R13,VT-SLEEPER-40,18:00,600000
MA-R14,VT-SLEEPER-40,18:00,600000
