vehicle_type_id,code,deck
VT-CABIN-22,A01,lower
VT-CABIN-22,A02,lower
VT-CABIN-22,A03,lower
VT-CABIN-22,A04,lower
VT-CABIN-22,A05,lower
VT-CABIN-22,A06,lower
VT-CABIN-22,A07,lower
VT-CABIN-22,A08,lower
VT-CABIN-22,A09,lower
VT-CABIN-22,A10,lower
VT-CABIN-22,A11,lower
VT-CABIN-22,B01,upper
VT-CABIN-22,B02,upper
VT-CABIN-22,B03,upper
VT-CABIN-22,B04,upper
VT-CABIN-22,B05,upper
VT-CABIN-22,B06,upper
VT-CABIN-22,B07,upper
VT-CABIN-22,B08,upper
VT-CABIN-22,B09,upper
VT-CABIN-22,B10,upper
VT-CABIN-22,B11,upper
VT-SLEEPER-34,A01,lower
VT-SLEEPER-34,A02,lower
VT-SLEEPER-34,A03,lower
VT-SLEEPER-34,A04,lower
VT-SLEEPER-34,A05,lower
VT-SLEEPER-34,A06,lower
VT-SLEEPER-34,A07,lower
VT-SLEEPER-34,A08,lower
VT-SLEEPER-34,A09,lower
VT-SLEEPER-34,A10,lower
VT-SLEEPER-34,A11,lower
VT-SLEEPER-34,A12,lower
VT-SLEEPER-34,A13,lower
VT-SLEEPER-34,A14,lower
VT-SLEEPER-34,A15,lower
VT-SLEEPER-34,A16,lower
VT-SLEEPER-34,A17,lower
VT-SLEEPER-34,B01,upper
VT-SLEEPER-34,B02,upper
VT-SLEEPER-34,B03,upper
VT-SLEEPER-34,B04,upper
VT-SLEEPER-34,B05,upper
VT-SLEEPER-34,B06,upper
VT-SLEEPER-34,B07,upper
VT-SLEEPER-34,B08,upper
VT-SLEEPER-34,B09,upper
VT-SLEEPER-34,B10,upper
VT-SLEEPER-34,B11,upper
VT-SLEEPER-34,B12,upper
VT-SLEEPER-34,B13,upper
VT-SLEEPER-34,B14,upper
VT-SLEEPER-34,B15,upper
VT-SLEEPER-34,B16,upper
VT-SLEEPER-34,B17,upper
VT-SLEEPER-40,A01,lower
VT-SLEEPER-40,A02,lower
VT-SLEEPER-40,A03,lower
VT-SLEEPER-40,A04,lower
VT-SLEEPER-40,A05,lower
VT-SLEEPER-40,A06,lower
VT-SLEEPER-40,A07,lower
VT-SLEEPER-40,A08,lower
VT-SLEEPER-40,A09,lower
VT-SLEEPER-40,A10,lower
VT-SLEEPER-40,A11,lower
VT-SLEEPER-40,A12,lower
VT-SLEEPER-40,A13,lower
VT-SLEEPER-40,A14,lower
VT-SLEEPER-40,A15,lower
VT-SLEEPER-40,A16,lower
VT-SLEEPER-40,A17,lower
VT-SLEEPER-40,A18,lower
VT-SLEEPER-40,A19,lower
VT-SLEEPER-40,A20,lower
VT-SLEEPER-40,B01,upper
VT-SLEEPER-40,B02,upper
VT-SLEEPER-40,B03,upper
VT-SLEEPER-40,B04,upper
VT-SLEEPER-40,B05,upper
VT-SLEEPER-40,B06,upper
VT-SLEEPER-40,B07,upper
VT-SLEEPER-40,B08,upper
VT-SLEEPER-40,B09,upper
VT-SLEEPER-40,B10,upper
VT-SLEEPER-40,B11,upper
VT-SLEEPER-40,B12,upper
VT-SLEEPER-40,B13,upper
VT-SLEEPER-40,B14,upper
VT-SLEEPER-40,B15,upper
VT-SLEEPER-40,B16,upper
VT-SLEEPER-40,B17,upper
VT-SLEEPER-40,B18,upper
VT-SLEEPER-40,B19,upper
VT-SLEEPER-40,B20,upper
VT-SHUTTLE-16,S01,
VT-SHUTTLE-16,S02,
VT-SHUTTLE-16,S03,
VT-SHUTTLE-16,S04,
VT-SHUTTLE-16,S05,
VT-SHUTTLE-16,S06,
VT-SHUTTLE-16,S07,
VT-SHUTTLE-16,S08,
VT-SHUTTLE-16,S09,
VT-SHUTTLE-16,S10,
VT-SHUTTLE-16,S11,
VT-SHUTTLE-16,S12,
VT-SHUTTLE-16,S13,
VT-SHUTTLE-16,S14,
VT-SHUTTLE-16,S15,
VT-SHUTTLE-16,S16,
