vehicle_type_id,code,deck
limousine-21,A1,
limousine-21,A2,
limousine-21,B1,
limousine-21,B2,
limousine-21,C1,
limousine-21,C2,
limousine-21,D1,
limousine-21,D2,
limousine-21,E1,
limousine-21,E2,
giuong-nam-34,A1,upper
giuong-nam-34,A2,upper
giuong-nam-34,A3,upper
giuong-nam-34,C1,upper
giuong-nam-34,C2,upper
giuong-nam-34,C3,upper
giuong-nam-34,E1,upper
giuong-nam-34,E2,upper
giuong-nam-34,E3,upper
giuong-nam-34,B1,lower
giuong-nam-34,B2,lower
giuong-nam-34,B3,lower
giuong-nam-34,D1,lower
giuong-nam-34,D2,lower
giuong-nam-34,D3,lower
giuong-nam-34,F1,lower
giuong-nam-34,F2,lower
giuong-nam-34,F3,lower
giuong-nam-38,A1,upper
giuong-nam-38,A2,upper
giuong-nam-38,A3,upper
giuong-nam-38,C1,upper
giuong-nam-38,C2,upper
giuong-nam-38,C3,upper
giuong-nam-38,E1,upper
giuong-nam-38,E2,upper
giuong-nam-38,E3,upper
giuong-nam-38,B1,lower
giuong-nam-38,B2,lower
giuong-nam-38,B3,lower
giuong-nam-38,D1,lower
giuong-nam-38,D2,lower
giuong-nam-38,D3,lower
giuong-nam-38,F1,lower
giuong-nam-38,F2,lower
giuong-nam-38,F3,lower
giuong-nam-38,V1,lower
giuong-nam-38,V2,lower
giuong-nam-38,V3,lower
